team_id,team_url,team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,competition_id,season_id,id
922493f3,/en/squads/922493f3/2024-2025/Atalanta-Stats,Atalanta,3,38,38,"3,420",38.0,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/1d8099f8/Bologna-Stats,Bologna,2,38,38,"3,420",38.0,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/c4260e09/Cagliari-Stats,Cagliari,4,38,38,"3,420",38.0,56,1.47,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/28c9c3cd/Como-Stats,Como,3,38,38,"3,420",38.0,52,1.37,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/a3d88bd8/Empoli-Stats,Empoli,3,38,38,"3,420",38.0,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/421387cf/Fiorentina-Stats,Fiorentina,2,37,37,"3,330",38.0,41,1.11,146,104,72.6,18,8,11,11,29.7,3,1,2,0,66.7,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/658bf2de/Genoa-Stats,Genoa,4,38,38,"3,420",38.0,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/0e72edf2/Hellas-Verona-Stats,Hellas Verona,2,38,38,"3,420",38.0,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
d609edc0,/en/squads/d609edc0/2024-2025/Internazionale-Stats,Inter,2,37,37,"3,330",38.0,32,0.86,124,92,76.6,24,9,4,16,43.2,4,3,1,0,25.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
e0652b02,/en/squads/e0652b02/2024-2025/Juventus-Stats,Juventus,2,38,38,"3,420",38.0,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/7213da33/Lazio-Stats,Lazio,2,38,38,"3,420",38.0,49,1.29,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/ffcbe334/Lecce-Stats,Lecce,1,38,38,"3,420",38.0,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/dc56fe14/Milan-Stats,Milan,2,38,38,"3,420",38.0,43,1.13,142,101,70.4,18,9,11,13,34.2,2,1,1,0,50.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/21680aa4/Monza-Stats,Monza,3,38,38,"3,420",38.0,69,1.82,183,115,63.4,3,9,26,3,7.9,4,2,2,0,50.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
d48ad4ff,/en/squads/d48ad4ff/2024-2025/Napoli-Stats,Napoli,3,38,38,"3,420",38.0,27,0.71,96,69,72.9,24,10,4,19,50.0,4,1,2,1,66.7,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/eab4234c/Parma-Stats,Parma,2,38,38,"3,330",38.0,58,1.57,158,102,66.5,7,15,16,7,18.4,5,5,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/cf74a709/Roma-Stats,Roma,1,38,38,"3,420",38.0,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/105360fe/Torino-Stats,Torino,2,38,38,"3,420",38.0,45,1.18,180,133,76.7,10,14,14,10,26.3,7,3,4,0,57.1,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/04eea015/Udinese-Stats,Udinese,3,38,38,"3,420",38.0,56,1.47,164,113,70.1,12,8,18,9,23.7,8,7,0,1,0.0,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
squads,/en/squads/af5d5982/Venezia-Stats,Venezia,3,38,38,"3,420",38.0,56,1.47,188,134,75.5,5,14,19,6,15.8,11,10,1,0,9.1,11,2024-2025,2b0a4dee-e972-456e-b115-3158cef18d7b
