team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2016-2017/Atalanta-Stats,vs Atalanta,32,38.0,101,1,0,575,575,66,726,545,598,3,7,0,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
1d8099f8,/en/squads/1d8099f8/2016-2017/Bologna-Stats,vs Bologna,28,38.0,81,7,3,538,476,111,908,519,494,5,2,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
c4260e09,/en/squads/c4260e09/2016-2017/Cagliari-Stats,vs Cagliari,34,38.0,91,5,2,530,539,68,1006,561,486,10,7,2,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
cc919b35,/en/squads/cc919b35/2016-2017/Chievo-Stats,vs Chievo,29,38.0,68,1,0,564,548,49,885,515,450,5,7,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
3074d7b1,/en/squads/3074d7b1/2016-2017/Crotone-Stats,vs Crotone,31,38.0,60,6,4,497,573,90,911,487,492,10,5,0,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
a3d88bd8,/en/squads/a3d88bd8/2016-2017/Empoli-Stats,vs Empoli,29,38.0,99,4,3,641,521,105,833,642,570,9,7,0,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
421387cf,/en/squads/421387cf/2016-2017/Fiorentina-Stats,vs Fiorentina,30,38.0,91,1,0,560,518,98,744,554,508,5,10,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
658bf2de,/en/squads/658bf2de/2016-2017/Genoa-Stats,vs Genoa,33,38.0,81,8,3,472,602,67,665,569,478,6,3,2,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
d609edc0,/en/squads/d609edc0/2016-2017/Internazionale-Stats,vs Inter,29,38.0,94,4,3,544,531,74,598,595,477,4,5,2,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
e0652b02,/en/squads/e0652b02/2016-2017/Juventus-Stats,vs Juventus,27,38.0,93,5,4,595,464,45,573,505,481,1,3,5,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
7213da33,/en/squads/7213da33/2016-2017/Lazio-Stats,vs Lazio,30,38.0,78,4,0,461,523,60,687,560,565,7,14,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
dc56fe14,/en/squads/dc56fe14/2016-2017/Milan-Stats,vs Milan,28,38.0,118,2,1,552,498,101,785,542,545,7,13,2,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
d48ad4ff,/en/squads/d48ad4ff/2016-2017/Napoli-Stats,vs Napoli,26,38.0,93,7,3,468,366,93,572,681,446,4,6,0,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
ee058a17,/en/squads/ee058a17/2016-2017/Palermo-Stats,vs Palermo,30,38.0,76,5,3,556,556,109,876,529,505,5,1,0,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
b985784c,/en/squads/b985784c/2016-2017/Pescara-Stats,vs Pescara,34,38.0,75,7,5,568,542,67,825,511,530,4,7,3,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
cf74a709,/en/squads/cf74a709/2016-2017/Roma-Stats,vs Roma,22,38.0,82,3,0,517,442,93,743,629,465,4,14,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
8ff9e3b3,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats,vs Sampdoria,24,38.0,96,8,4,532,484,194,858,647,556,8,8,4,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
e2befd26,/en/squads/e2befd26/2016-2017/Sassuolo-Stats,vs Sassuolo,28,38.0,98,4,4,559,491,127,963,551,515,7,12,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
105360fe,/en/squads/105360fe/2016-2017/Torino-Stats,vs Torino,29,38.0,77,5,3,509,550,88,789,495,530,7,11,0,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
04eea015,/en/squads/04eea015/2016-2017/Udinese-Stats,vs Udinese,29,38.0,74,7,3,542,468,98,843,498,511,6,4,1,11,2016-2017,31625525-8910-44f3-a848-89c6e9893cbb
