team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,ball_recoveries_away,aerials_won_away,aerials_lost_away,aerials_won_pct_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2022-2023/Atalanta-Stats,vs Atalanta,27,38.0,83,1,0,406,438,50,578,360,458,1,8,2,2239,483,575,45.7,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
1d8099f8,/en/squads/1d8099f8/2022-2023/Bologna-Stats,vs Bologna,27,38.0,84,2,1,451,452,58,665,320,325,6,6,1,2005,447,369,54.8,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
9aad3a77,/en/squads/9aad3a77/2022-2023/Cremonese-Stats,vs Cremonese,33,38.0,66,1,1,434,432,72,696,307,331,4,7,1,2131,730,562,56.5,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
a3d88bd8,/en/squads/a3d88bd8/2022-2023/Empoli-Stats,vs Empoli,32,38.0,84,5,2,489,422,75,950,330,387,4,2,2,1953,519,434,54.5,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
421387cf,/en/squads/421387cf/2022-2023/Fiorentina-Stats,vs Fiorentina,30,38.0,103,7,2,542,459,93,446,331,339,5,6,2,1910,517,588,46.8,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
0e72edf2,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats,vs Hellas Verona,36,38.0,69,5,0,410,518,44,634,272,346,2,1,2,2125,735,810,47.6,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
d609edc0,/en/squads/d609edc0/2022-2023/Internazionale-Stats,vs Inter,25,38.0,89,1,0,436,412,36,558,330,262,3,5,3,1767,415,500,45.4,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
e0652b02,/en/squads/e0652b02/2022-2023/Juventus-Stats,vs Juventus,29,38.0,74,2,0,427,412,53,706,362,349,2,6,0,1893,477,486,49.5,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
7213da33,/en/squads/7213da33/2022-2023/Lazio-Stats,vs Lazio,24,38.0,108,7,5,500,376,63,641,329,301,2,8,1,2041,381,399,48.8,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
ffcbe334,/en/squads/ffcbe334/2022-2023/Lecce-Stats,vs Lecce,29,38.0,90,2,0,461,521,64,677,306,327,5,6,2,2030,728,567,56.2,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
dc56fe14,/en/squads/dc56fe14/2022-2023/Milan-Stats,vs Milan,30,38.0,113,1,0,462,430,41,539,335,381,5,5,3,1972,478,561,46.0,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
21680aa4,/en/squads/21680aa4/2022-2023/Monza-Stats,vs Monza,31,38.0,78,5,3,534,466,55,704,316,323,1,6,2,1983,441,448,49.6,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
d48ad4ff,/en/squads/d48ad4ff/2022-2023/Napoli-Stats,vs Napoli,27,38.0,92,4,3,495,363,50,491,331,406,1,10,2,1901,403,483,45.5,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
cf74a709,/en/squads/cf74a709/2022-2023/Roma-Stats,vs Roma,30,38.0,124,8,3,533,417,22,573,290,388,2,10,0,1979,429,543,44.1,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
c5577084,/en/squads/c5577084/2022-2023/Salernitana-Stats,vs Salernitana,30,38.0,74,6,3,478,447,72,683,299,331,11,2,2,2106,585,528,52.6,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
8ff9e3b3,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats,vs Sampdoria,40,38.0,79,1,1,530,480,90,719,317,354,8,2,1,2079,636,617,50.8,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
e2befd26,/en/squads/e2befd26/2022-2023/Sassuolo-Stats,vs Sassuolo,31,38.0,86,4,1,479,376,119,671,306,360,2,10,1,1928,438,375,53.9,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
68449f6d,/en/squads/68449f6d/2022-2023/Spezia-Stats,vs Spezia,34,38.0,61,2,1,406,478,76,726,354,367,5,4,2,2038,570,535,51.6,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
105360fe,/en/squads/105360fe/2022-2023/Torino-Stats,vs Torino,28,38.0,66,1,1,413,476,42,615,306,312,4,2,1,1940,629,590,51.6,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
04eea015,/en/squads/04eea015/2022-2023/Udinese-Stats,vs Udinese,30,38.0,86,3,1,505,458,61,703,301,389,5,2,1,1933,406,477,46.0,11,2022-2023,0897783a-af72-418e-a853-743a7f2f05b8
