team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
922493f3,/en/squads/922493f3/2022-2023/Atalanta-Stats,Atalanta,27,38.0,83,3,1,470,385,58,652,421,364,6,3,2,2234,575,483,54.3,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
1d8099f8,/en/squads/1d8099f8/2022-2023/Bologna-Stats,Bologna,27,38.0,84,3,2,477,426,77,558,302,373,5,9,3,2080,369,447,45.2,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
9aad3a77,/en/squads/9aad3a77/2022-2023/Cremonese-Stats,Cremonese,33,38.0,81,3,0,458,407,68,659,393,400,5,5,1,2059,562,730,43.5,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
a3d88bd8,/en/squads/a3d88bd8/2022-2023/Empoli-Stats,Empoli,32,38.0,88,7,3,441,459,54,611,280,364,2,6,1,1815,434,519,45.5,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
421387cf,/en/squads/421387cf/2022-2023/Fiorentina-Stats,Fiorentina,30,38.0,93,3,2,488,511,56,880,260,337,3,8,2,2016,588,517,53.2,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
0e72edf2,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats,Hellas Verona,36,38.0,103,3,0,540,383,74,652,337,357,1,2,3,2238,810,735,52.4,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
d609edc0,/en/squads/d609edc0/2022-2023/Internazionale-Stats,Inter,25,38.0,65,3,2,444,406,68,885,315,325,4,3,3,1948,500,415,54.6,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
e0652b02,/en/squads/e0652b02/2022-2023/Juventus-Stats,Juventus,29,38.0,74,6,1,456,409,62,731,307,352,6,5,0,1951,486,477,50.5,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
7213da33,/en/squads/7213da33/2022-2023/Lazio-Stats,Lazio,24,38.0,87,2,0,400,471,54,483,310,349,6,2,1,1979,399,381,51.2,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
ffcbe334,/en/squads/ffcbe334/2022-2023/Lecce-Stats,Lecce,29,38.0,86,2,1,553,439,68,709,368,427,4,6,3,2120,567,728,43.8,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
dc56fe14,/en/squads/dc56fe14/2022-2023/Milan-Stats,Milan,30,38.0,90,2,2,449,438,61,671,289,422,3,5,1,2051,561,478,54.0,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
21680aa4,/en/squads/21680aa4/2022-2023/Monza-Stats,Monza,31,38.0,90,4,1,489,495,69,596,334,355,6,3,1,1845,448,441,50.4,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
d48ad4ff,/en/squads/d48ad4ff/2022-2023/Napoli-Stats,Napoli,27,38.0,47,1,0,389,468,60,681,287,313,8,2,0,2027,483,403,54.5,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
cf74a709,/en/squads/cf74a709/2022-2023/Roma-Stats,Roma,30,38.0,83,4,2,446,505,56,595,368,340,6,3,1,1981,543,429,55.9,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
c5577084,/en/squads/c5577084/2022-2023/Salernitana-Stats,Salernitana,30,38.0,85,4,1,473,439,67,559,329,337,1,11,0,1981,528,585,47.4,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
8ff9e3b3,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats,Sampdoria,40,38.0,108,3,2,507,512,55,599,317,351,1,11,2,1913,617,636,49.2,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
e2befd26,/en/squads/e2befd26/2022-2023/Sassuolo-Stats,Sassuolo,31,38.0,90,6,3,408,443,43,625,278,281,6,4,2,1756,375,438,46.1,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
68449f6d,/en/squads/68449f6d/2022-2023/Spezia-Stats,Spezia,34,38.0,103,6,4,519,379,55,655,301,359,2,7,3,2033,535,570,48.4,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
105360fe,/en/squads/105360fe/2022-2023/Torino-Stats,Torino,28,38.0,81,0,0,506,382,80,610,292,265,2,6,0,2010,590,629,48.4,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
04eea015,/en/squads/04eea015/2022-2023/Udinese-Stats,Udinese,30,38.0,88,3,1,478,476,51,564,314,365,1,7,2,1916,477,406,54.0,11,2022-2023,adaed00b-c076-4817-9dfe-bf25005d6726
