team_id,team_url,team,players_used_away,minutes_90s_away,passes_completed_away,passes_away,passes_pct_away,passes_total_distance_away,passes_progressive_distance_away,passes_completed_short_away,passes_short_away,passes_pct_short_away,passes_completed_medium_away,passes_medium_away,passes_pct_medium_away,passes_completed_long_away,passes_long_away,passes_pct_long_away,assists_away,xg_assist_away,pass_xa_away,xg_assist_net_away,assisted_shots_away,passes_into_final_third_away,passes_into_penalty_area_away,crosses_into_penalty_area_away,progressive_passes_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2019-2020/Atalanta-Stats,vs Atalanta,30,38.0,12397,16331,75.9,220887,90962,5700,6512,87.5,4782,5854,81.7,1503,2875,52.3,30,27.9,20.3,+2.1,286,843,190,51,1072,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
1d8099f8,/en/squads/1d8099f8/2019-2020/Bologna-Stats,vs Bologna,31,38.0,12886,16783,76.8,229366,92955,5892,6843,86.1,5127,6150,83.4,1464,2703,54.2,40,38.3,31.0,+1.7,407,1034,313,71,1433,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
4ef57aeb,/en/squads/4ef57aeb/2019-2020/Brescia-Stats,vs Brescia,32,38.0,18024,21731,82.9,314361,110716,8411,9278,90.7,7176,8264,86.8,1900,3002,63.3,55,52.4,46.2,+2.6,532,1430,456,119,1865,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
c4260e09,/en/squads/c4260e09/2019-2020/Cagliari-Stats,vs Cagliari,33,38.0,16537,20192,81.9,295467,104861,7340,8200,89.5,6737,7717,87.3,1922,3033,63.4,35,40.5,38.0,-5.5,439,1302,388,116,1740,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
421387cf,/en/squads/421387cf/2019-2020/Fiorentina-Stats,vs Fiorentina,33,38.0,15326,19046,80.5,268316,94559,6970,7807,89.3,6356,7378,86.1,1573,2766,56.9,31,32.2,29.9,-1.2,315,1129,268,70,1497,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
658bf2de,/en/squads/658bf2de/2019-2020/Genoa-Stats,vs Genoa,34,38.0,14984,18722,80.0,263205,96389,6812,7698,88.5,6080,7167,84.8,1597,2739,58.3,52,40.8,36.5,+11.2,458,1201,359,96,1623,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
0e72edf2,/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,vs Hellas Verona,30,38.0,13629,17787,76.6,240384,95007,6298,7317,86.1,5416,6591,82.2,1476,2836,52.0,31,36.8,33.0,-5.8,455,1125,363,91,1450,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
d609edc0,/en/squads/d609edc0/2019-2020/Internazionale-Stats,vs Inter,29,38.0,14365,17809,80.7,253551,88657,6689,7455,89.7,5580,6591,84.7,1662,2769,60.0,24,28.2,23.8,-4.2,339,1075,280,88,1323,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
e0652b02,/en/squads/e0652b02/2019-2020/Juventus-Stats,vs Juventus,30,38.0,13534,16896,80.1,241959,83130,6235,6987,89.2,5291,6173,85.7,1602,2737,58.5,26,27.2,24.6,-1.2,340,857,238,75,1197,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
7213da33,/en/squads/7213da33/2019-2020/Lazio-Stats,vs Lazio,27,38.0,15858,19233,82.5,275327,95605,7415,8269,89.7,6314,7224,87.4,1659,2687,61.7,28,34.7,29.3,-6.7,396,1168,287,76,1463,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
ffcbe334,/en/squads/ffcbe334/2019-2020/Lecce-Stats,vs Lecce,30,38.0,17729,21240,83.5,305277,106207,8246,9061,91.0,7157,8148,87.8,1759,2847,61.8,51,61.9,48.9,-10.9,536,1466,417,97,1860,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
dc56fe14,/en/squads/dc56fe14/2019-2020/Milan-Stats,vs Milan,32,38.0,13233,16945,78.1,234773,89699,5981,6798,88.0,5268,6276,83.9,1513,2703,56.0,27,26.4,21.4,+0.6,318,998,239,63,1352,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
d48ad4ff,/en/squads/d48ad4ff/2019-2020/Napoli-Stats,vs Napoli,25,38.0,13614,16890,80.6,235950,85882,6217,6934,89.7,5568,6413,86.8,1378,2492,55.3,33,31.0,25.3,+2.0,314,825,224,74,1156,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
eab4234c,/en/squads/eab4234c/2019-2020/Parma-Stats,vs Parma,25,38.0,16942,20518,82.6,294933,104312,7911,8849,89.4,6766,7755,87.2,1773,2784,63.7,38,45.6,41.2,-7.6,539,1423,434,129,1929,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
cf74a709,/en/squads/cf74a709/2019-2020/Roma-Stats,vs Roma,31,38.0,14005,17495,80.1,249434,91847,6239,6962,89.6,5877,6804,86.4,1508,2731,55.2,33,32.5,22.8,+0.5,327,897,233,62,1186,11,2019-2020,3982b86f-9273-4ca9-954d-82081b72ae29
