team_id,team_url,team,players_used_away,minutes_90s_away,passes_away,passes_live_away,passes_dead_away,passes_free_kicks_away,through_balls_away,passes_switches_away,crosses_away,throw_ins_away,corner_kicks_away,corner_kicks_in_away,corner_kicks_out_away,corner_kicks_straight_away,passes_completed_away,passes_offsides_away,passes_blocked_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2017-2018/Atalanta-Stats,vs Atalanta,25,38.0,17218,15092,2069,545,49,92,632,882,187,93,58,0,12944,57,404,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
4fcb34fd,/en/squads/4fcb34fd/2017-2018/Benevento-Stats,vs Benevento,41,38.0,20062,18059,1899,523,72,162,798,780,203,96,52,5,16307,104,355,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
1d8099f8,/en/squads/1d8099f8/2017-2018/Bologna-Stats,vs Bologna,30,38.0,20178,18047,2040,520,50,126,912,935,240,107,89,8,16078,91,469,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
c4260e09,/en/squads/c4260e09/2017-2018/Cagliari-Stats,vs Cagliari,29,38.0,20522,18354,2074,651,33,197,807,871,193,92,77,2,16337,94,391,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
cc919b35,/en/squads/cc919b35/2017-2018/Chievo-Stats,vs Chievo,25,38.0,21425,19383,1966,551,32,218,853,825,242,86,84,2,17127,76,390,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
3074d7b1,/en/squads/3074d7b1/2017-2018/Crotone-Stats,vs Crotone,29,38.0,22839,20755,2029,548,40,151,901,859,257,111,111,5,18113,55,466,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
421387cf,/en/squads/421387cf/2017-2018/Fiorentina-Stats,vs Fiorentina,27,38.0,17877,15616,2192,601,37,149,705,877,196,101,64,3,13524,69,458,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
658bf2de,/en/squads/658bf2de/2017-2018/Genoa-Stats,vs Genoa,33,38.0,20858,18848,1976,613,36,207,717,827,157,75,54,3,16723,34,374,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
0e72edf2,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats,vs Hellas Verona,32,38.0,21886,19805,2008,547,66,188,938,881,240,106,94,6,17752,73,382,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
d609edc0,/en/squads/d609edc0/2017-2018/Internazionale-Stats,vs Inter,22,38.0,17430,15486,1867,518,35,212,712,706,184,81,64,2,13680,77,338,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
e0652b02,/en/squads/e0652b02/2017-2018/Juventus-Stats,vs Juventus,24,38.0,17703,15946,1715,487,18,161,609,707,129,58,50,1,14127,42,322,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
7213da33,/en/squads/7213da33/2017-2018/Lazio-Stats,vs Lazio,24,38.0,19672,17797,1821,494,44,197,596,725,156,69,49,0,15809,54,392,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
dc56fe14,/en/squads/dc56fe14/2017-2018/Milan-Stats,vs Milan,24,38.0,17406,15408,1891,558,34,153,633,734,150,72,53,3,13644,107,399,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
d48ad4ff,/en/squads/d48ad4ff/2017-2018/Napoli-Stats,vs Napoli,23,38.0,16906,15022,1787,408,21,158,461,738,129,55,51,1,12948,97,392,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
cf74a709,/en/squads/cf74a709/2017-2018/Roma-Stats,vs Roma,27,38.0,15899,13858,1905,444,66,149,623,776,158,64,69,7,11800,136,292,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
8ff9e3b3,/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats,vs Sampdoria,27,38.0,17740,15751,1842,453,45,330,810,757,215,85,89,9,13641,147,496,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
e2befd26,/en/squads/e2befd26/2017-2018/Sassuolo-Stats,vs Sassuolo,28,38.0,21402,19324,2001,537,39,183,854,855,222,85,80,4,16983,77,423,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
1d2fe027,/en/squads/1d2fe027/2017-2018/SPAL-Stats,vs SPAL,29,38.0,20159,18214,1886,532,35,158,807,806,209,86,79,6,16318,59,353,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
105360fe,/en/squads/105360fe/2017-2018/Torino-Stats,vs Torino,27,38.0,17931,15742,2101,602,49,167,808,884,228,99,94,3,13753,88,369,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
04eea015,/en/squads/04eea015/2017-2018/Udinese-Stats,vs Udinese,27,38.0,20894,18782,2035,561,36,208,788,826,226,104,77,6,16702,77,440,11,2017-2018,5286e67e-bb9d-419b-a668-4370523f10a9
