team_id,team_url,team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,competition_id,season_id,id
922493f3,/en/squads/922493f3/2022-2023/Atalanta-Stats,Atalanta,27,38.0,19507,17537,1912,432,35,154,652,893,194,97,67,0,15462,58,359,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
1d8099f8,/en/squads/1d8099f8/2022-2023/Bologna-Stats,Bologna,27,38.0,20552,18623,1852,484,58,179,558,830,145,90,41,0,16763,77,368,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
9aad3a77,/en/squads/9aad3a77/2022-2023/Cremonese-Stats,Cremonese,33,38.0,15041,13147,1826,482,26,99,659,768,146,51,76,0,10872,68,300,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
a3d88bd8,/en/squads/a3d88bd8/2022-2023/Empoli-Stats,Empoli,32,38.0,16862,14830,1978,538,24,105,611,828,163,70,61,0,13199,54,375,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
421387cf,/en/squads/421387cf/2022-2023/Fiorentina-Stats,Fiorentina,30,38.0,19236,17189,1991,600,30,203,880,831,234,88,99,0,15373,56,336,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
0e72edf2,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats,Hellas Verona,36,38.0,13807,12006,1727,437,23,81,652,721,170,81,63,1,9481,74,334,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
d609edc0,/en/squads/d609edc0/2022-2023/Internazionale-Stats,Inter,25,38.0,21281,19504,1709,443,50,185,885,682,214,66,121,0,17693,68,275,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
e0652b02,/en/squads/e0652b02/2022-2023/Juventus-Stats,Juventus,29,38.0,18690,16884,1744,449,38,195,731,706,207,64,125,1,15226,62,318,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
7213da33,/en/squads/7213da33/2022-2023/Lazio-Stats,Lazio,24,38.0,21629,19809,1766,540,55,135,483,680,169,71,76,0,18135,54,330,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
ffcbe334,/en/squads/ffcbe334/2022-2023/Lecce-Stats,Lecce,29,38.0,14358,12384,1906,504,23,175,709,858,172,56,61,0,10083,68,315,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
dc56fe14,/en/squads/dc56fe14/2022-2023/Milan-Stats,Milan,30,38.0,19734,17874,1799,472,52,126,671,813,187,51,108,0,15948,61,322,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
21680aa4,/en/squads/21680aa4/2022-2023/Monza-Stats,Monza,31,38.0,20724,18818,1837,570,33,168,596,711,154,22,111,0,17198,69,327,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
d48ad4ff,/en/squads/d48ad4ff/2022-2023/Napoli-Stats,Napoli,27,38.0,24473,22587,1826,515,36,200,681,785,228,84,74,1,21086,60,337,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
cf74a709,/en/squads/cf74a709/2022-2023/Roma-Stats,Roma,30,38.0,17814,15874,1884,528,59,176,595,833,188,84,93,0,14171,56,292,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
c5577084,/en/squads/c5577084/2022-2023/Salernitana-Stats,Salernitana,30,38.0,16508,14589,1852,530,25,140,559,720,143,23,66,0,12667,67,324,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
8ff9e3b3,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats,Sampdoria,40,38.0,16575,14576,1944,598,34,107,599,760,130,36,77,0,12606,55,380,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
e2befd26,/en/squads/e2befd26/2022-2023/Sassuolo-Stats,Sassuolo,31,38.0,18306,16248,2015,566,34,195,625,798,177,81,50,0,14805,43,351,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
68449f6d,/en/squads/68449f6d/2022-2023/Spezia-Stats,Spezia,34,38.0,16501,14437,2009,456,26,107,655,922,193,116,53,0,12399,55,381,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
105360fe,/en/squads/105360fe/2022-2023/Torino-Stats,Torino,28,38.0,19336,17523,1733,445,36,117,610,742,172,99,42,1,15376,80,336,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
04eea015,/en/squads/04eea015/2022-2023/Udinese-Stats,Udinese,30,38.0,16790,14908,1831,536,37,213,564,707,186,76,52,0,13391,51,329,11,2022-2023,4f62bf8f-132b-481d-84d2-8c9e434b7ca4
