team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2016-2017/Atalanta-Stats,vs Atalanta,32,27.1,38,"3,420",90,100,38.0,418,,,113,22,312,0.87,41,62,-21,-0.55,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
1d8099f8,/en/squads/1d8099f8/2016-2017/Bologna-Stats,vs Bologna,28,27.1,38,"3,420",90,100,38.0,418,,,112,24,311,1.71,58,40,+18,+0.47,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
c4260e09,/en/squads/c4260e09/2016-2017/Cagliari-Stats,vs Cagliari,34,26.7,38,"3,420",90,100,38.0,418,,,114,23,322,1.63,76,55,+21,+0.55,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
cc919b35,/en/squads/cc919b35/2016-2017/Chievo-Stats,vs Chievo,29,27.0,38,"3,420",90,100,38.0,418,,,113,22,320,1.68,61,43,+18,+0.47,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
3074d7b1,/en/squads/3074d7b1/2016-2017/Crotone-Stats,vs Crotone,31,26.8,38,"3,420",90,100,38.0,418,,,112,20,308,1.92,58,34,+24,+0.63,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
a3d88bd8,/en/squads/a3d88bd8/2016-2017/Empoli-Stats,vs Empoli,29,26.9,38,"3,420",90,100,38.0,418,,,112,20,312,1.95,61,29,+32,+0.84,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
421387cf,/en/squads/421387cf/2016-2017/Fiorentina-Stats,vs Fiorentina,30,27.0,38,"3,420",90,100,38.0,418,,,111,20,318,1.11,57,63,-6,-0.16,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
658bf2de,/en/squads/658bf2de/2016-2017/Genoa-Stats,vs Genoa,33,27.0,38,"3,420",90,100,38.0,418,,,111,20,319,1.82,64,38,+26,+0.68,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
d609edc0,/en/squads/d609edc0/2016-2017/Internazionale-Stats,vs Inter,29,26.8,38,"3,420",90,100,38.0,418,,,113,21,325,1.24,49,72,-23,-0.61,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
e0652b02,/en/squads/e0652b02/2016-2017/Juventus-Stats,vs Juventus,27,26.7,38,"3,420",90,100,38.0,418,,,113,21,315,0.50,27,77,-50,-1.32,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
7213da33,/en/squads/7213da33/2016-2017/Lazio-Stats,vs Lazio,30,26.9,38,"3,420",90,100,38.0,418,,,111,22,317,0.97,51,74,-23,-0.61,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
dc56fe14,/en/squads/dc56fe14/2016-2017/Milan-Stats,vs Milan,28,26.9,38,"3,420",90,100,38.0,418,,,112,21,319,1.11,45,57,-12,-0.32,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
d48ad4ff,/en/squads/d48ad4ff/2016-2017/Napoli-Stats,vs Napoli,26,26.9,38,"3,420",90,100,38.0,418,,,114,23,318,0.53,39,94,-55,-1.45,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
ee058a17,/en/squads/ee058a17/2016-2017/Palermo-Stats,vs Palermo,30,27.0,38,"3,420",90,100,38.0,418,,,109,20,316,2.11,77,33,+44,+1.16,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
b985784c,/en/squads/b985784c/2016-2017/Pescara-Stats,vs Pescara,34,26.9,38,"3,420",90,100,38.0,418,,,114,21,315,2.29,81,37,+44,+1.16,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
cf74a709,/en/squads/cf74a709/2016-2017/Roma-Stats,vs Roma,22,26.6,38,"3,420",90,100,38.0,418,,,113,24,310,0.63,38,90,-52,-1.37,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
8ff9e3b3,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats,vs Sampdoria,24,27.2,38,"3,420",90,100,38.0,418,,,111,20,310,1.42,55,49,+6,+0.16,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
e2befd26,/en/squads/e2befd26/2016-2017/Sassuolo-Stats,vs Sassuolo,28,27.0,38,"3,420",90,100,38.0,418,,,111,20,330,1.61,63,58,+5,+0.13,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
105360fe,/en/squads/105360fe/2016-2017/Torino-Stats,vs Torino,29,27.0,38,"3,420",90,100,38.0,418,,,111,22,320,1.24,66,71,-5,-0.13,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
04eea015,/en/squads/04eea015/2016-2017/Udinese-Stats,vs Udinese,29,27.0,38,"3,420",90,100,38.0,418,,,112,21,305,1.58,56,47,+9,+0.24,11,2016-2017,b239ba69-065b-4745-bdb2-cbc11369bb8b
