team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,on_xg_for_away,on_xg_against_away,xg_plus_minus_away,xg_plus_minus_per90_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2021-2022/Atalanta-Stats,vs Atalanta,32,26.6,38,"3,420",90,100,38.0,418,80,251,166,21,265,1.16,48,65,-17,-0.45,45.3,62.4,-17.2,-0.45,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
1d8099f8,/en/squads/1d8099f8/2021-2022/Bologna-Stats,vs Bologna,36,26.5,38,"3,420",90,100,38.0,418,81,244,171,21,258,1.53,55,44,+11,+0.29,52.6,44.9,+7.7,+0.20,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
c4260e09,/en/squads/c4260e09/2021-2022/Cagliari-Stats,vs Cagliari,33,26.7,38,"3,420",90,100,38.0,418,82,251,167,19,252,1.89,68,34,+34,+0.89,61.0,39.0,+21.9,+0.58,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
a3d88bd8,/en/squads/a3d88bd8/2021-2022/Empoli-Stats,vs Empoli,28,27.0,38,"3,420",90,100,38.0,418,80,251,167,22,257,1.63,70,50,+20,+0.53,66.0,44.9,+21.2,+0.56,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
421387cf,/en/squads/421387cf/2021-2022/Fiorentina-Stats,vs Fiorentina,28,26.7,38,"3,420",90,100,38.0,418,81,243,171,23,252,1.24,51,59,-8,-0.21,40.6,60.0,-19.4,-0.51,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
658bf2de,/en/squads/658bf2de/2021-2022/Genoa-Stats,vs Genoa,40,26.7,38,"3,420",90,100,38.0,418,78,254,165,21,267,1.84,60,27,+33,+0.87,54.1,37.2,+16.9,+0.44,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
0e72edf2,/en/squads/0e72edf2/2021-2022/Hellas-Verona-Stats,vs Hellas Verona,31,26.8,38,"3,420",90,100,38.0,418,81,247,170,23,259,1.32,59,65,-6,-0.16,49.0,50.4,-1.4,-0.04,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
d609edc0,/en/squads/d609edc0/2021-2022/Internazionale-Stats,vs Inter,27,26.7,38,"3,420",90,100,38.0,418,81,244,173,22,261,0.55,32,84,-52,-1.37,39.1,81.6,-42.5,-1.12,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
e0652b02,/en/squads/e0652b02/2021-2022/Juventus-Stats,vs Juventus,32,26.8,38,"3,420",90,100,38.0,418,81,258,157,19,271,0.89,37,57,-20,-0.53,38.1,51.4,-13.4,-0.35,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
7213da33,/en/squads/7213da33/2021-2022/Lazio-Stats,vs Lazio,27,26.5,38,"3,420",90,100,38.0,418,82,246,169,21,254,1.05,58,77,-19,-0.50,47.7,55.3,-7.6,-0.20,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
dc56fe14,/en/squads/dc56fe14/2021-2022/Milan-Stats,vs Milan,28,27.0,38,"3,420",90,100,38.0,418,80,238,175,21,263,0.53,31,69,-38,-1.00,35.9,59.7,-23.8,-0.63,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
d48ad4ff,/en/squads/d48ad4ff/2021-2022/Napoli-Stats,vs Napoli,27,26.6,38,"3,420",90,100,38.0,418,82,245,168,21,254,0.74,31,74,-43,-1.13,32.5,57.8,-25.3,-0.67,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
cf74a709,/en/squads/cf74a709/2021-2022/Roma-Stats,vs Roma,29,26.8,38,"3,420",90,100,38.0,418,83,243,168,23,263,1.11,43,59,-16,-0.42,38.4,65.1,-26.8,-0.70,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
c5577084,/en/squads/c5577084/2021-2022/Salernitana-Stats,vs Salernitana,42,26.8,38,"3,420",90,100,38.0,418,80,241,171,23,261,1.92,78,33,+45,+1.18,65.2,36.5,+28.7,+0.76,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
8ff9e3b3,/en/squads/8ff9e3b3/2021-2022/Sampdoria-Stats,vs Sampdoria,34,26.7,38,"3,420",90,100,38.0,418,82,257,159,22,261,1.89,63,46,+17,+0.45,56.1,36.7,+19.3,+0.51,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
e2befd26,/en/squads/e2befd26/2021-2022/Sassuolo-Stats,vs Sassuolo,29,26.8,38,"3,420",90,100,38.0,418,83,243,173,23,260,1.39,66,64,+2,+0.05,66.4,55.7,+10.7,+0.28,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
68449f6d,/en/squads/68449f6d/2021-2022/Spezia-Stats,vs Spezia,30,27.0,38,"3,420",90,100,38.0,418,82,248,169,22,259,1.89,71,41,+30,+0.79,64.4,40.1,+24.3,+0.64,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
105360fe,/en/squads/105360fe/2021-2022/Torino-Stats,vs Torino,31,26.8,38,"3,420",90,100,38.0,418,81,253,163,22,268,1.39,41,46,-5,-0.13,38.9,48.7,-9.8,-0.26,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
04eea015,/en/squads/04eea015/2021-2022/Udinese-Stats,vs Udinese,29,26.8,38,"3,420",90,100,38.0,418,82,251,163,22,265,1.39,58,61,-3,-0.08,52.4,51.3,+1.0,+0.03,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
af5d5982,/en/squads/af5d5982/2021-2022/Venezia-Stats,vs Venezia,39,26.8,38,"3,420",90,100,38.0,418,79,246,171,21,252,2.05,69,34,+35,+0.92,71.8,36.5,+35.3,+0.93,11,2021-2022,d59fc7a4-7170-4bf8-b2f8-48693ce254b3
