team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,competition_id,season_id,id
922493f3,/en/squads/922493f3/2015-2016/Atalanta-Stats,Atalanta,33,27.8,38,"3,420",90,100,38.0,418,,,114,0,329,1.18,41,47,-6,-0.16,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
1d8099f8,/en/squads/1d8099f8/2015-2016/Bologna-Stats,Bologna,31,27.0,38,"3,420",90,100,38.0,418,,,114,0,335,1.11,33,45,-12,-0.32,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
71f07916,/en/squads/71f07916/2015-2016/Carpi-Stats,Carpi,35,25.9,38,"3,420",90,100,38.0,418,,,113,0,277,1.00,37,57,-20,-0.53,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
cc919b35,/en/squads/cc919b35/2015-2016/Chievo-Stats,Chievo,26,30.5,38,"3,420",90,100,38.0,418,,,114,0,280,1.32,43,45,-2,-0.05,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
a3d88bd8,/en/squads/a3d88bd8/2015-2016/Empoli-Stats,Empoli,29,25.4,38,"3,420",90,100,38.0,418,,,112,0,324,1.21,40,49,-9,-0.24,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
421387cf,/en/squads/421387cf/2015-2016/Fiorentina-Stats,Fiorentina,26,27.6,38,"3,420",90,100,38.0,418,,,111,0,262,1.68,60,42,+18,+0.47,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
6a7ad59d,/en/squads/6a7ad59d/2015-2016/Frosinone-Stats,Frosinone,28,26.5,38,"3,420",90,100,38.0,418,,,113,0,301,0.82,35,76,-41,-1.08,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
658bf2de,/en/squads/658bf2de/2015-2016/Genoa-Stats,Genoa,30,26.7,38,"3,420",90,100,38.0,418,,,113,0,265,1.21,45,48,-3,-0.08,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
0e72edf2,/en/squads/0e72edf2/2015-2016/Hellas-Verona-Stats,Hellas Verona,32,27.5,38,"3,420",90,100,38.0,418,,,113,0,282,0.74,34,63,-29,-0.76,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
d609edc0,/en/squads/d609edc0/2015-2016/Internazionale-Stats,Inter,28,26.7,38,"3,420",90,100,38.0,418,,,112,0,324,1.76,50,38,+12,+0.32,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
e0652b02,/en/squads/e0652b02/2015-2016/Juventus-Stats,Juventus,28,28.3,38,"3,420",90,100,38.0,418,,,111,0,282,2.39,75,20,+55,+1.45,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
7213da33,/en/squads/7213da33/2015-2016/Lazio-Stats,Lazio,27,27.6,38,"3,420",90,100,38.0,418,,,112,0,304,1.42,52,52,0,0.00,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
dc56fe14,/en/squads/dc56fe14/2015-2016/Milan-Stats,Milan,30,26.4,38,"3,420",90,100,38.0,418,,,104,0,345,1.50,49,43,+6,+0.16,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
d48ad4ff,/en/squads/d48ad4ff/2015-2016/Napoli-Stats,Napoli,22,26.5,38,"3,420",90,100,38.0,418,,,112,0,340,2.16,80,32,+48,+1.26,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
ee058a17,/en/squads/ee058a17/2015-2016/Palermo-Stats,Palermo,31,26.8,38,"3,420",90,100,38.0,418,,,108,0,341,1.03,38,65,-27,-0.71,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
cf74a709,/en/squads/cf74a709/2015-2016/Roma-Stats,Roma,32,26.2,38,"3,420",90,100,38.0,418,,,111,0,333,2.11,83,41,+42,+1.11,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
8ff9e3b3,/en/squads/8ff9e3b3/2015-2016/Sampdoria-Stats,Sampdoria,35,27.5,38,"3,420",90,100,38.0,418,,,113,0,315,1.05,48,61,-13,-0.34,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
e2befd26,/en/squads/e2befd26/2015-2016/Sassuolo-Stats,Sassuolo,26,27.0,38,"3,420",90,100,38.0,418,,,114,0,312,1.61,49,40,+9,+0.24,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
105360fe,/en/squads/105360fe/2015-2016/Torino-Stats,Torino,27,27.6,38,"3,420",90,100,38.0,418,,,109,0,277,1.18,52,55,-3,-0.08,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
04eea015,/en/squads/04eea015/2015-2016/Udinese-Stats,Udinese,28,27.6,38,"3,420",90,100,38.0,418,,,113,0,341,1.03,35,60,-25,-0.66,11,2015-2016,96e9426d-3ea4-4e43-b465-778abc8761ec
