team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,competition_id,season_id,id
922493f3,/en/squads/922493f3/2019-2020/Atalanta-Stats,Atalanta,30,27.2,38,"3,420",90,100,38.0,418,82,,134,23,268,2.05,98,48,+50,+1.32,83.5,41.3,+42.2,+1.11,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
1d8099f8,/en/squads/1d8099f8/2019-2020/Bologna-Stats,Bologna,31,27.2,38,"3,420",90,100,38.0,418,83,,136,20,274,1.24,52,65,-13,-0.34,56.9,54.8,+2.0,+0.05,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
4ef57aeb,/en/squads/4ef57aeb/2019-2020/Brescia-Stats,Brescia,32,25.6,38,"3,420",90,100,38.0,418,83,,121,23,235,0.66,35,79,-44,-1.16,43.4,74.5,-31.2,-0.82,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
c4260e09,/en/squads/c4260e09/2019-2020/Cagliari-Stats,Cagliari,33,27.4,38,"3,420",90,100,38.0,418,83,,129,21,298,1.18,52,56,-4,-0.11,41.8,59.0,-17.2,-0.45,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
421387cf,/en/squads/421387cf/2019-2020/Fiorentina-Stats,Fiorentina,33,25.1,38,"3,420",90,100,38.0,418,83,,129,21,323,1.29,51,48,+3,+0.08,53.6,48.9,+4.7,+0.12,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
658bf2de,/en/squads/658bf2de/2019-2020/Genoa-Stats,Genoa,34,26.8,38,"3,420",90,100,38.0,418,82,,135,23,305,1.03,47,73,-26,-0.68,48.7,60.0,-11.3,-0.30,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
0e72edf2,/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,Hellas Verona,30,26.1,38,"3,420",90,100,38.0,418,83,,128,22,320,1.29,47,51,-4,-0.11,50.5,53.7,-3.2,-0.08,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
d609edc0,/en/squads/d609edc0/2019-2020/Internazionale-Stats,Inter,29,27.7,38,"3,420",90,100,38.0,418,84,,134,18,298,2.16,81,36,+45,+1.18,69.4,40.7,+28.7,+0.76,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
e0652b02,/en/squads/e0652b02/2019-2020/Juventus-Stats,Juventus,30,28.6,38,"3,420",90,100,38.0,418,82,,127,25,272,2.18,76,43,+33,+0.87,71.1,44.9,+26.1,+0.69,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
7213da33,/en/squads/7213da33/2019-2020/Lazio-Stats,Lazio,27,27.9,38,"3,420",90,100,38.0,418,83,,137,22,307,2.05,79,42,+37,+0.97,68.0,51.1,+16.9,+0.44,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
ffcbe334,/en/squads/ffcbe334/2019-2020/Lecce-Stats,Lecce,30,28.7,38,"3,420",90,100,38.0,418,82,,120,26,325,0.92,52,85,-33,-0.87,54.7,85.6,-30.8,-0.81,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
dc56fe14,/en/squads/dc56fe14/2019-2020/Milan-Stats,Milan,32,24.6,38,"3,420",90,100,38.0,418,82,,128,25,302,1.74,63,46,+17,+0.45,62.8,45.1,+17.6,+0.46,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
d48ad4ff,/en/squads/d48ad4ff/2019-2020/Napoli-Stats,Napoli,25,26.9,38,"3,420",90,100,38.0,418,83,,135,21,277,1.63,61,50,+11,+0.29,61.7,44.7,+16.9,+0.45,11,2019-2020,c5072673-5b20-4a66-a0c2-822706bd6867
