team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2018-2019/Atalanta-Stats,vs Atalanta,27,42.7,38.0,20928,2572,7133,9697,4343,551,20923,577,308,53.4,268,46.4,10931,60224,30863,595,426,121,592,369,12251,1213,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
1d8099f8,/en/squads/1d8099f8/2018-2019/Bologna-Stats,vs Bologna,29,55.1,38.0,24129,2112,6640,11724,6042,762,24125,632,369,58.4,262,41.5,13905,76621,42272,769,652,145,564,427,15869,1611,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
c4260e09,/en/squads/c4260e09/2018-2019/Cagliari-Stats,vs Cagliari,30,50.2,38.0,23353,2218,7500,10377,5715,908,23343,524,313,59.7,211,40.3,12942,70836,38270,828,540,198,577,392,14914,1582,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
cc919b35,/en/squads/cc919b35/2018-2019/Chievo-Stats,vs Chievo,36,56.7,38.0,25861,2020,6986,12732,6426,894,25857,605,353,58.3,252,41.7,14735,81494,42726,851,644,171,565,371,17678,1755,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
a3d88bd8,/en/squads/a3d88bd8/2018-2019/Empoli-Stats,vs Empoli,29,52.1,38.0,24215,2162,6600,11614,6253,892,24207,511,294,57.5,216,42.3,13672,79406,43741,888,673,178,512,336,16362,1634,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
421387cf,/en/squads/421387cf/2018-2019/Fiorentina-Stats,vs Fiorentina,27,49.6,38.0,21229,2368,6739,9698,5037,634,21223,470,271,57.7,198,42.1,11771,65376,34489,695,544,118,565,393,12765,1339,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
6a7ad59d,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats,vs Frosinone,33,58.5,38.0,26455,1994,6435,13125,7143,871,26450,530,317,59.8,213,40.2,16042,86395,48552,1033,805,180,561,358,18398,1794,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
658bf2de,/en/squads/658bf2de/2018-2019/Genoa-Stats,vs Genoa,31,56.6,38.0,24636,2362,7449,11482,5918,762,24630,542,288,53.1,253,46.7,14432,78005,41921,760,577,140,571,417,16168,1612,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
d609edc0,/en/squads/d609edc0/2018-2019/Internazionale-Stats,vs Inter,23,40.6,38.0,20111,2831,7377,8625,4356,621,20106,596,343,57.6,252,42.3,11235,61791,32533,639,518,136,501,361,12173,1203,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
e0652b02,/en/squads/e0652b02/2018-2019/Juventus-Stats,vs Juventus,31,44.1,38.0,21149,2409,6638,9818,4906,550,21145,453,239,52.8,214,47.2,11991,63516,33269,652,591,117,506,357,13605,1237,11,2018-2019,9ff3002c-be9e-41a2-a612-b9b9d078c958
