team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
922493f3,/en/squads/922493f3/2017-2018/Atalanta-Stats,Atalanta,25,55.4,38.0,25560,1940,6875,11992,6956,1012,25551,704,442,62.8,262,37.2,14628,84639,42846,933,657,219,599,449,16842,1900,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
4fcb34fd,/en/squads/4fcb34fd/2017-2018/Benevento-Stats,Benevento,41,47.5,38.0,21992,2533,7984,9844,4455,570,21989,665,393,59.1,272,40.9,12192,78025,42094,772,551,148,541,425,14166,1205,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
1d8099f8,/en/squads/1d8099f8/2017-2018/Bologna-Stats,Bologna,30,46.8,38.0,21816,2522,7600,10272,4181,536,21812,473,327,69.1,141,29.8,12937,68267,33562,586,454,109,599,469,13549,1332,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
c4260e09,/en/squads/c4260e09/2017-2018/Cagliari-Stats,Cagliari,29,45.3,38.0,20681,2202,7056,9431,4398,618,20674,411,237,57.7,171,41.6,10201,53870,25957,464,359,84,536,350,12112,1326,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
cc919b35,/en/squads/cc919b35/2017-2018/Chievo-Stats,Chievo,25,44.4,38.0,21019,2466,6956,9424,4854,583,21017,378,204,54.0,174,46.0,11050,56558,29062,554,440,90,498,342,12639,1348,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
3074d7b1,/en/squads/3074d7b1/2017-2018/Crotone-Stats,Crotone,29,39.9,38.0,19329,2356,6811,8657,4116,527,19326,419,251,59.9,167,39.9,9667,51549,26095,472,395,85,603,388,10234,1236,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
421387cf,/en/squads/421387cf/2017-2018/Fiorentina-Stats,Fiorentina,27,52.6,38.0,24041,2075,7061,11399,5809,789,24033,570,348,61.1,220,38.6,13196,72521,39005,737,584,151,561,407,15355,1683,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
658bf2de,/en/squads/658bf2de/2017-2018/Genoa-Stats,Genoa,33,46.3,38.0,21508,2190,6934,9722,5139,677,21503,509,331,65.0,175,34.4,11642,64669,32868,699,502,119,557,382,13230,1458,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
0e72edf2,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats,Hellas Verona,32,41.9,38.0,19870,2875,7697,8639,3828,442,19863,584,370,63.4,214,36.6,9172,60790,31140,635,470,112,554,416,11437,1065,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
d609edc0,/en/squads/d609edc0/2017-2018/Internazionale-Stats,Inter,22,57.1,38.0,26769,2248,7222,13081,6705,904,26762,553,356,64.4,195,35.3,16624,92224,50588,947,708,185,479,356,18819,1866,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
e0652b02,/en/squads/e0652b02/2017-2018/Juventus-Stats,Juventus,24,57.2,38.0,27376,2006,7748,13782,6120,738,27369,726,519,71.5,206,28.4,17676,92128,45930,789,596,171,516,395,20112,1688,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
7213da33,/en/squads/7213da33/2017-2018/Lazio-Stats,Lazio,24,51.1,38.0,24488,2108,7230,11538,6022,899,24477,709,464,65.4,244,34.4,15187,85093,46210,915,634,223,563,448,16305,1780,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
dc56fe14,/en/squads/dc56fe14/2017-2018/Milan-Stats,Milan,24,56.0,38.0,25694,2040,7350,12189,6346,831,25688,450,298,66.2,152,33.8,13571,72118,39639,778,557,176,496,389,17977,2008,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
d48ad4ff,/en/squads/d48ad4ff/2017-2018/Napoli-Stats,Napoli,23,63.4,38.0,33098,1826,6441,18565,8313,915,33089,609,348,57.1,260,42.7,20613,92342,53379,971,837,209,472,370,25165,2450,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
cf74a709,/en/squads/cf74a709/2017-2018/Roma-Stats,Roma,27,58.0,38.0,25584,2175,6786,12233,6865,941,25579,681,411,60.4,267,39.2,14368,84671,45187,938,702,215,574,413,17336,1966,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
8ff9e3b3,/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats,Sampdoria,27,53.6,38.0,24318,2316,6862,12086,5636,724,24310,572,357,62.4,215,37.6,12344,66670,35567,614,518,133,568,414,16137,1614,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
e2befd26,/en/squads/e2befd26/2017-2018/Sassuolo-Stats,Sassuolo,28,42.9,38.0,20042,2280,6491,8773,5090,608,20032,538,330,61.3,206,38.3,9904,62924,31172,640,503,141,459,428,11505,1469,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
1d2fe027,/en/squads/1d2fe027/2017-2018/SPAL-Stats,SPAL,29,44.7,38.0,19987,2351,6947,9135,4159,504,19982,531,313,58.9,218,41.1,10038,64533,34759,704,473,94,471,358,12090,1200,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
105360fe,/en/squads/105360fe/2017-2018/Torino-Stats,Torino,27,51.1,38.0,22686,2421,7343,10682,4921,685,22684,677,418,61.7,259,38.3,13329,73629,35861,703,535,149,579,478,14467,1405,11,2017-2018,6326635f-bbae-4585-85ae-5b915bf3f27f
