team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,competition_id,season_id,id
922493f3,/en/squads/922493f3/2016-2017/Atalanta-Stats,Atalanta,32,38.0,62,536,201,37.5,14.11,5.29,0.11,0.28,,5,5,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
1d8099f8,/en/squads/1d8099f8/2016-2017/Bologna-Stats,Bologna,28,38.0,39,424,145,34.2,11.16,3.82,0.09,0.26,,1,2,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
c4260e09,/en/squads/c4260e09/2016-2017/Cagliari-Stats,Cagliari,34,38.0,53,431,161,37.4,11.34,4.24,0.11,0.30,,4,6,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
cc919b35,/en/squads/cc919b35/2016-2017/Chievo-Stats,Chievo,29,38.0,42,405,129,31.9,10.66,3.39,0.09,0.29,,4,5,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
3074d7b1,/en/squads/3074d7b1/2016-2017/Crotone-Stats,Crotone,31,38.0,34,408,129,31.6,10.74,3.39,0.07,0.23,,4,5,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
a3d88bd8,/en/squads/a3d88bd8/2016-2017/Empoli-Stats,Empoli,29,38.0,29,364,127,34.9,9.58,3.34,0.07,0.20,,4,5,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
421387cf,/en/squads/421387cf/2016-2017/Fiorentina-Stats,Fiorentina,30,38.0,62,614,224,36.5,16.16,5.89,0.09,0.25,,6,10,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
658bf2de,/en/squads/658bf2de/2016-2017/Genoa-Stats,Genoa,33,38.0,36,453,148,32.7,11.92,3.89,0.08,0.23,,2,3,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
d609edc0,/en/squads/d609edc0/2016-2017/Internazionale-Stats,Inter,29,38.0,70,636,212,33.3,16.74,5.58,0.11,0.32,,3,5,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
e0652b02,/en/squads/e0652b02/2016-2017/Juventus-Stats,Juventus,27,38.0,72,588,211,35.9,15.47,5.55,0.12,0.33,,3,3,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
7213da33,/en/squads/7213da33/2016-2017/Lazio-Stats,Lazio,30,38.0,73,590,212,35.9,15.53,5.58,0.10,0.29,,12,14,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
dc56fe14,/en/squads/dc56fe14/2016-2017/Milan-Stats,Milan,28,38.0,55,556,191,34.4,14.63,5.03,0.09,0.25,,7,12,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
d48ad4ff,/en/squads/d48ad4ff/2016-2017/Napoli-Stats,Napoli,26,38.0,94,672,261,38.8,17.68,6.87,0.13,0.34,,5,6,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
ee058a17,/en/squads/ee058a17/2016-2017/Palermo-Stats,Palermo,30,38.0,33,385,119,30.9,10.13,3.13,0.08,0.27,,1,1,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
b985784c,/en/squads/b985784c/2016-2017/Pescara-Stats,Pescara,34,38.0,32,449,145,32.3,11.82,3.82,0.07,0.21,,2,6,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
cf74a709,/en/squads/cf74a709/2016-2017/Roma-Stats,Roma,22,38.0,88,677,235,34.7,17.82,6.18,0.11,0.32,,12,14,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
8ff9e3b3,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats,Sampdoria,24,38.0,45,504,165,32.7,13.26,4.34,0.08,0.23,,7,8,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
e2befd26,/en/squads/e2befd26/2016-2017/Sassuolo-Stats,Sassuolo,28,38.0,59,445,173,38.9,11.71,4.55,0.11,0.29,,9,10,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
105360fe,/en/squads/105360fe/2016-2017/Torino-Stats,Torino,29,38.0,70,580,185,31.9,15.26,4.87,0.11,0.35,,5,9,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
04eea015,/en/squads/04eea015/2016-2017/Udinese-Stats,Udinese,29,38.0,47,435,155,35.6,11.45,4.08,0.10,0.29,,2,3,11,2016-2017,487371bb-4880-42f3-9e84-8d21704aee77
