team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
922493f3,/en/squads/922493f3/2023-2024/Atalanta-Stats,Atalanta,29,38.0,72,539,197,36.5,14.18,5.18,0.12,0.34,16.0,6,5,5,57.8,53.9,0.10,+14.2,+13.1,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
1d8099f8,/en/squads/1d8099f8/2023-2024/Bologna-Stats,Bologna,28,38.0,52,472,159,33.7,12.42,4.18,0.10,0.30,18.0,19,4,5,47.9,44.0,0.10,+4.1,+4.0,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
c4260e09,/en/squads/c4260e09/2023-2024/Cagliari-Stats,Cagliari,29,38.0,41,442,127,28.7,11.63,3.34,0.08,0.29,17.6,15,4,6,42.9,38.4,0.09,-1.9,-1.4,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
a3d88bd8,/en/squads/a3d88bd8/2023-2024/Empoli-Stats,Empoli,34,38.0,26,413,112,27.1,10.87,2.95,0.05,0.19,18.9,22,5,5,36.2,32.4,0.08,-10.2,-11.4,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
421387cf,/en/squads/421387cf/2023-2024/Fiorentina-Stats,Fiorentina,30,38.0,60,515,171,33.2,13.55,4.50,0.11,0.33,17.5,13,4,8,51.7,45.4,0.09,+8.3,+10.6,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
6a7ad59d,/en/squads/6a7ad59d/2023-2024/Frosinone-Stats,Frosinone,34,38.0,44,460,147,32.0,12.11,3.87,0.08,0.24,19.2,18,8,10,45.8,37.9,0.08,-1.8,-1.9,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
658bf2de,/en/squads/658bf2de/2023-2024/Genoa-Stats,Genoa,34,38.0,43,397,119,30.0,10.45,3.13,0.10,0.32,17.4,21,5,6,35.7,31.0,0.08,+7.3,+7.0,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
0e72edf2,/en/squads/0e72edf2/2023-2024/Hellas-Verona-Stats,Hellas Verona,36,38.0,38,435,146,33.6,11.45,3.84,0.08,0.24,18.9,13,3,7,38.0,32.4,0.08,0.0,+2.6,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
d609edc0,/en/squads/d609edc0/2023-2024/Internazionale-Stats,Inter,27,38.0,87,580,196,33.8,15.26,5.16,0.13,0.38,16.8,19,13,14,78.2,67.4,0.12,+8.8,+6.6,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
e0652b02,/en/squads/e0652b02/2023-2024/Juventus-Stats,Juventus,31,38.0,52,531,146,27.5,13.97,3.84,0.09,0.34,16.9,19,3,5,54.6,50.6,0.10,-2.6,-1.6,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
7213da33,/en/squads/7213da33/2023-2024/Lazio-Stats,Lazio,22,38.0,46,436,135,31.0,11.47,3.55,0.10,0.31,18.0,15,4,4,46.5,43.4,0.10,-0.5,-1.4,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
ffcbe334,/en/squads/ffcbe334/2023-2024/Lecce-Stats,Lecce,26,38.0,30,503,147,29.2,13.24,3.87,0.05,0.18,18.8,11,3,5,43.1,39.2,0.08,-13.1,-12.2,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
dc56fe14,/en/squads/dc56fe14/2023-2024/Milan-Stats,Milan,35,38.0,76,554,202,36.5,14.58,5.32,0.13,0.35,16.8,9,6,8,66.2,60.0,0.11,+9.8,+10.0,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
21680aa4,/en/squads/21680aa4/2023-2024/Monza-Stats,Monza,31,38.0,38,451,123,27.3,11.87,3.24,0.08,0.28,17.8,15,4,5,39.5,35.9,0.08,-1.5,-1.9,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
d48ad4ff,/en/squads/d48ad4ff/2023-2024/Napoli-Stats,Napoli,29,38.0,54,638,196,30.7,16.79,5.16,0.08,0.24,17.6,18,6,10,61.4,53.3,0.09,-7.4,-5.3,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
cf74a709,/en/squads/cf74a709/2023-2024/Roma-Stats,Roma,30,38.0,64,464,142,30.6,12.21,3.74,0.11,0.37,17.9,16,11,12,51.4,42.3,0.09,+12.6,+10.7,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
c5577084,/en/squads/c5577084/2023-2024/Salernitana-Stats,Salernitana,39,38.0,32,398,118,29.6,10.47,3.11,0.08,0.25,19.1,11,2,2,30.3,28.7,0.07,+1.7,+1.3,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
e2befd26,/en/squads/e2befd26/2023-2024/Sassuolo-Stats,Sassuolo,30,38.0,42,453,144,31.8,11.92,3.79,0.08,0.24,19.2,18,7,8,39.8,33.8,0.08,+2.2,+1.2,11,2023-2024,258287d0-a310-44db-a464-22d0e355aef4
