team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,xg_away,npxg_away,xg_assist_away,npxg_xg_assist_away,progressive_carries_away,progressive_passes_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,xg_per90_away,xg_assist_per90_away,xg_xg_assist_per90_away,npxg_per90_away,npxg_xg_assist_per90_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2019-2020/Atalanta-Stats,vs Atalanta,30,27.0,42.8,38,418,"3,420",38.0,45,30,75,39,6,6,106,7,41.3,36.6,27.9,64.5,597,1072,1.18,0.79,1.97,1.03,1.82,1.09,0.73,1.82,0.96,1.70,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
1d8099f8,/en/squads/1d8099f8/2019-2020/Bologna-Stats,vs Bologna,31,26.9,47.4,38,418,"3,420",38.0,64,40,104,58,6,8,104,7,54.8,48.5,38.3,86.8,767,1433,1.68,1.05,2.74,1.53,2.58,1.44,1.01,2.45,1.28,2.29,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
4ef57aeb,/en/squads/4ef57aeb/2019-2020/Brescia-Stats,vs Brescia,32,27.1,59.4,38,418,"3,420",38.0,76,55,131,67,9,11,106,2,74.5,66.2,52.4,118.6,900,1865,2.00,1.45,3.45,1.76,3.21,1.96,1.38,3.34,1.74,3.12,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
c4260e09,/en/squads/c4260e09/2019-2020/Cagliari-Stats,vs Cagliari,33,27.0,54.3,38,418,"3,420",38.0,53,35,88,46,7,9,76,6,59.0,52.7,40.5,93.2,850,1740,1.39,0.92,2.32,1.21,2.13,1.55,1.07,2.62,1.39,2.45,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
421387cf,/en/squads/421387cf/2019-2020/Fiorentina-Stats,vs Fiorentina,33,27.1,52.6,38,418,"3,420",38.0,48,31,79,39,9,11,95,3,48.9,40.4,32.2,72.6,826,1497,1.26,0.82,2.08,1.03,1.84,1.29,0.85,2.13,1.06,1.91,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
658bf2de,/en/squads/658bf2de/2019-2020/Genoa-Stats,vs Genoa,34,26.9,50.5,38,418,"3,420",38.0,71,52,123,64,7,9,96,8,60.0,52.9,40.8,93.8,859,1623,1.87,1.37,3.24,1.68,3.05,1.58,1.07,2.65,1.39,2.47,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
0e72edf2,/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,vs Hellas Verona,30,27.0,50.2,38,418,"3,420",38.0,50,31,81,41,9,9,105,8,53.7,46.7,36.8,83.4,781,1450,1.32,0.82,2.13,1.08,1.89,1.41,0.97,2.38,1.23,2.20,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
d609edc0,/en/squads/d609edc0/2019-2020/Internazionale-Stats,vs Inter,29,26.8,45.8,38,418,"3,420",38.0,35,24,59,32,3,4,90,4,40.7,37.6,28.2,65.7,779,1323,0.92,0.63,1.55,0.84,1.47,1.07,0.74,1.81,0.99,1.73,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
e0652b02,/en/squads/e0652b02/2019-2020/Juventus-Stats,vs Juventus,30,26.7,41.9,38,418,"3,420",38.0,43,26,69,34,9,12,113,8,44.9,35.9,27.2,63.1,559,1197,1.13,0.68,1.82,0.89,1.58,1.18,0.72,1.90,0.94,1.66,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
7213da33,/en/squads/7213da33/2019-2020/Lazio-Stats,vs Lazio,27,26.9,49.6,38,418,"3,420",38.0,41,28,69,34,7,9,96,7,51.1,44.1,34.7,78.9,811,1463,1.08,0.74,1.82,0.89,1.63,1.35,0.91,2.26,1.16,2.08,11,2019-2020,6000f51b-ffc1-4314-aa63-854a3c83d830
