team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
922493f3,/en/squads/922493f3/2016-2017/Atalanta-Stats,Atalanta,32,25.2,50.2,38,417,"3,420",38.0,62,43,105,57,5,5,90,2,1.63,1.13,2.76,1.50,2.63,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
1d8099f8,/en/squads/1d8099f8/2016-2017/Bologna-Stats,Bologna,28,26.3,46.3,38,418,"3,420",38.0,39,29,68,38,1,2,87,2,1.03,0.76,1.79,1.00,1.76,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
c4260e09,/en/squads/c4260e09/2016-2017/Cagliari-Stats,Cagliari,34,28.7,43.2,38,418,"3,420",38.0,53,30,83,49,4,6,104,3,1.39,0.79,2.18,1.29,2.08,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
cc919b35,/en/squads/cc919b35/2016-2017/Chievo-Stats,Chievo,29,31.3,46.7,38,418,"3,420",38.0,42,29,71,38,4,5,88,3,1.11,0.76,1.87,1.00,1.76,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
3074d7b1,/en/squads/3074d7b1/2016-2017/Crotone-Stats,Crotone,31,26.0,37.1,38,418,"3,420",38.0,34,22,56,30,4,5,93,3,0.89,0.58,1.47,0.79,1.37,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
a3d88bd8,/en/squads/a3d88bd8/2016-2017/Empoli-Stats,Empoli,29,26.8,49.0,38,418,"3,420",38.0,29,19,48,25,4,5,107,0,0.76,0.50,1.26,0.66,1.16,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
421387cf,/en/squads/421387cf/2016-2017/Fiorentina-Stats,Fiorentina,30,27.3,58.3,38,418,"3,420",38.0,62,46,108,56,6,10,98,3,1.63,1.21,2.84,1.47,2.68,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
658bf2de,/en/squads/658bf2de/2016-2017/Genoa-Stats,Genoa,33,26.9,48.8,38,418,"3,420",38.0,36,30,66,34,2,3,97,4,0.95,0.79,1.74,0.89,1.68,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
d609edc0,/en/squads/d609edc0/2016-2017/Internazionale-Stats,Inter,29,27.5,56.4,38,418,"3,420",38.0,70,55,125,67,3,5,81,3,1.84,1.45,3.29,1.76,3.21,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
e0652b02,/en/squads/e0652b02/2016-2017/Juventus-Stats,Juventus,27,29.1,57.0,38,418,"3,420",38.0,72,49,121,69,3,3,70,0,1.89,1.29,3.18,1.82,3.11,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
7213da33,/en/squads/7213da33/2016-2017/Lazio-Stats,Lazio,30,26.0,51.0,38,418,"3,420",38.0,73,47,120,61,12,14,96,3,1.92,1.24,3.16,1.61,2.84,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
dc56fe14,/en/squads/dc56fe14/2016-2017/Milan-Stats,Milan,28,25.0,54.1,38,418,"3,420",38.0,55,39,94,48,7,12,98,9,1.45,1.03,2.47,1.26,2.29,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
d48ad4ff,/en/squads/d48ad4ff/2016-2017/Napoli-Stats,Napoli,26,26.9,62.1,38,418,"3,420",38.0,94,68,162,89,5,6,58,0,2.47,1.79,4.26,2.34,4.13,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
ee058a17,/en/squads/ee058a17/2016-2017/Palermo-Stats,Palermo,30,26.1,45.6,38,418,"3,420",38.0,33,24,57,32,1,1,107,6,0.87,0.63,1.50,0.84,1.47,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
b985784c,/en/squads/b985784c/2016-2017/Pescara-Stats,Pescara,34,26.6,46.4,38,418,"3,420",38.0,32,27,59,30,2,6,98,3,0.84,0.71,1.55,0.79,1.50,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
cf74a709,/en/squads/cf74a709/2016-2017/Roma-Stats,Roma,22,26.7,57.1,38,418,"3,420",38.0,88,59,147,76,12,14,64,0,2.32,1.55,3.87,2.00,3.55,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
8ff9e3b3,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats,Sampdoria,24,26.6,52.3,38,418,"3,420",38.0,45,31,76,38,7,8,75,1,1.18,0.82,2.00,1.00,1.82,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
e2befd26,/en/squads/e2befd26/2016-2017/Sassuolo-Stats,Sassuolo,28,26.7,46.8,38,418,"3,420",38.0,59,36,95,50,9,10,90,0,1.55,0.95,2.50,1.32,2.26,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
105360fe,/en/squads/105360fe/2016-2017/Torino-Stats,Torino,29,26.4,50.7,38,418,"3,420",38.0,70,54,124,65,5,9,88,3,1.84,1.42,3.26,1.71,3.13,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
04eea015,/en/squads/04eea015/2016-2017/Udinese-Stats,Udinese,29,26.7,41.8,38,418,"3,420",38.0,47,29,76,45,2,3,85,0,1.24,0.76,2.00,1.18,1.95,11,2016-2017,365d1b3d-9d17-4b95-82e4-a2f703765a56
